Volcano Name,Country,iso_alpha,Latitude,Longitude,VElevation,VType,VEI,Eruption_Year,Century,Deaths
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,1,1964,1900s,114
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,1,1964,1900s,15
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,1,1979,1900s,149
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,1,1993,1900s,1
Merapi,Indonesia,IDN,-7.542,110.442,2968,Stratovolcano,1,2006,2000s,2
Kelimutu,Indonesia,IDN,-8.77,121.82,1639,Complex,1,1968,1900s,1
Egon,Indonesia,IDN,-8.67,122.45,1703,Stratovolcano,1,2004,2000s,2
Iliwerung,Indonesia,IDN,-8.53,123.57,1018,Complex,1,1983,1900s,300
Karangetang [Api Siau],Indonesia,IDN,2.78,125.4,1784,Stratovolcano,1,1996,1900s,3
Sinabung,Indonesia,IDN,3.17,98.392,2460,Stratovolcano,2,2010,2000s,2
Sinabung,Indonesia,IDN,3.17,98.392,2460,Stratovolcano,2,2013,2000s,17
Sinabung,Indonesia,IDN,3.17,98.392,2460,Stratovolcano,2,2013,2000s,6
Sorikmarapi,Indonesia,IDN,0.686,99.539,2145,Stratovolcano,2,1892,1800s,15
Marapi,Indonesia,IDN,-0.381,100.473,2891,Complex,2,1975,1900s,80
Marapi,Indonesia,IDN,-0.381,100.473,2891,Complex,2,1987,1900s,1
Kaba,Indonesia,IDN,-3.52,102.62,1952,Stratovolcano,2,1833,1800s,126
Salak,Indonesia,IDN,-6.72,106.73,2211,Stratovolcano,2,1938,2000s,6
Tangkubanparahu,Indonesia,IDN,-6.77,107.6,2084,Stratovolcano,2,1846,1800s,3
Guntur,Indonesia,IDN,-7.143,107.84,2249,Complex,2,1829,1800s,100
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,2,1786,1700s,38
Dieng Volcanic Complex,Indonesia,IDN,-7.2,109.92,2565,Complex,2,1826,1800s,15
